Account Id,Account Name,Pipeline Id,Pipeline Name,Stage Id,Stage Name
33,Master Portal,kXOhxtu3AuW5hTH48wG3,Transfer Portal,53440a24-d1af-4390-a602-16fd1a488de1,DQ'd Can't be sold
33,Master Portal,kXOhxtu3AuW5hTH48wG3,Transfer Portal,612653d4-9c93-45cd-9922-c6a59c53eecf,Needs BPO Callback
33,Master Portal,kXOhxtu3AuW5hTH48wG3,Transfer Portal,23afe5d5-e041-4632-be7e-7147e57ce5c8,Application Withdrawn
33,Master Portal,kXOhxtu3AuW5hTH48wG3,Transfer Portal,bbb71132-f718-48f8-906d-822277cee176,Declined Underwriting
33,Master Portal,kXOhxtu3AuW5hTH48wG3,Transfer Portal,c941cc8a-be7b-4296-b699-4aed3d0de14b,Pending Approval
33,Master Portal,kXOhxtu3AuW5hTH48wG3,Transfer Portal,670186da-393c-4b50-8670-1c9017ea3e2b,Pending Manual Action
34,Rock BPO,nTe36suCUYUGIpUILYP1,Chargeback Pipeline,edaebe09-6782-4c43-aa1a-e042da0e74ee,FDPF Pending Reason
34,Rock BPO,nTe36suCUYUGIpUILYP1,Chargeback Pipeline,7e3ce105-7b81-463f-929b-1541264f46b0,FDPF Insufficient Funds
34,Rock BPO,nTe36suCUYUGIpUILYP1,Chargeback Pipeline,107a9096-a801-494e-b64b-b47fe4262ab6,FDPF Incorrect Banking Info
34,Rock BPO,nTe36suCUYUGIpUILYP1,Chargeback Pipeline,64d1c1fe-e81b-47ed-96cf-e1ff60d6044b,FDPF Unauthorized Draft
34,Rock BPO,nTe36suCUYUGIpUILYP1,Chargeback Pipeline,21c601f6-6a55-4a26-ad00-be86d45c28be,Pending Failed Payment Fix
34,Rock BPO,nTe36suCUYUGIpUILYP1,Chargeback Pipeline,0fbe1ce1-2afb-4086-84fd-61352db8e7c8,Pending Lapse
34,Rock BPO,nTe36suCUYUGIpUILYP1,Chargeback Pipeline,43fb0b6b-6cb0-4891-b945-5fe3abda7d55,Chargeback Failed Payment
34,Rock BPO,nTe36suCUYUGIpUILYP1,Chargeback Pipeline,b53b494b-379f-4732-b422-88422ebcc4a7,Chargeback Cancellation
34,Rock BPO,nTe36suCUYUGIpUILYP1,Chargeback Pipeline,cd9e16a4-6b1c-442f-bf08-290a9b1793be,Pending Chargeback Fix
34,Rock BPO,nTe36suCUYUGIpUILYP1,Chargeback Pipeline,79229d8c-328a-4b2f-a08d-0e5bfe322c4c,Chargeback Fixed
34,Rock BPO,nTe36suCUYUGIpUILYP1,Chargeback Pipeline,96aa1f3f-1d54-404e-818a-cacc908e2a33,⁠Chargeback DQ
34,Rock BPO,Z4SGJKMBcFbWjc9lAZcD,Customer Pipeline,e43a184c-e659-49fe-9d72-ab98a87860d6,Issued - Pending First Draft
34,Rock BPO,Z4SGJKMBcFbWjc9lAZcD,Customer Pipeline,54a393c5-0066-4912-acaf-807f45646a7f,ACTIVE PLACED - Paid as Earned
34,Rock BPO,Z4SGJKMBcFbWjc9lAZcD,Customer Pipeline,7a32aee1-2222-4440-8c25-0225dae39b82,ACTIVE PLACED - Paid as Advanced
34,Rock BPO,Z4SGJKMBcFbWjc9lAZcD,Customer Pipeline,cf2be25f-2b62-4c20-a23a-0324c3783aa4,Premium Paid - Commission Pending
34,Rock BPO,Z4SGJKMBcFbWjc9lAZcD,Customer Pipeline,b258447f-342a-47ea-a6df-aa5badfba8ad,ACTIVE - 9 months
34,Rock BPO,Z4SGJKMBcFbWjc9lAZcD,Customer Pipeline,db47c225-c0c0-43a9-a12f-1d990427d264,ACTIVE - 3 Months +
34,Rock BPO,Z4SGJKMBcFbWjc9lAZcD,Customer Pipeline,16b8b31f-d7d1-430b-8d53-95f332c0d162,ACTIVE - 6 months +
34,Rock BPO,Z4SGJKMBcFbWjc9lAZcD,Customer Pipeline,b211ccab-dfe3-477b-b191-db6c1b3b5965,ACTIVE - Past Charge-Back Period
34,Rock BPO,Oe7lHU3vwEhNeMsTUxsa,Transfer Portal,e3d554f2-a425-4445-8556-6e716e5582cf,Transfer API
34,Rock BPO,Oe7lHU3vwEhNeMsTUxsa,Transfer Portal,3c58619c-0e99-45fa-8381-bffec314d910,Chargeback Fix API
34,Rock BPO,Oe7lHU3vwEhNeMsTUxsa,Transfer Portal,92240454-5c8f-4d34-a374-ddf02e190174,Incomplete Transfer
34,Rock BPO,Oe7lHU3vwEhNeMsTUxsa,Transfer Portal,2da393b4-501f-484d-ad15-e52b2eaece26,Returned To Center - DQ
34,Rock BPO,Oe7lHU3vwEhNeMsTUxsa,Transfer Portal,4cf89a71-bce9-4c2f-be89-2ec0edd50e04,Previously Sold BPO
34,Rock BPO,Oe7lHU3vwEhNeMsTUxsa,Transfer Portal,2a0b0fed-bcd9-4b06-ae6e-a25d9c1ffb14,DQ'd Can't be sold
34,Rock BPO,Oe7lHU3vwEhNeMsTUxsa,Transfer Portal,5d284d69-849a-481a-aac0-5d0501cf9cf2,Needs BPO Callback
34,Rock BPO,Oe7lHU3vwEhNeMsTUxsa,Transfer Portal,ff962967-24ce-497e-b6ee-d79d85ce7cd8,Application Withdrawn
